NO2,Proximity_to_Industrial_Areas,Air Quality
18.9,6.3,Moderate
30.8,6.0,Moderate
24.4,5.2,Moderate
13.5,11.1,Good
21.9,12.7,Good
26.414375678610206,3.1,Hazardous
31.1,4.6,Poor
24.2,6.3,Moderate
45.1,5.4,Poor
32.0,4.9,Poor
18.3,13.0,Good
21.6,5.9,Moderate
26.1,10.2,Good
23.2,11.0,Good
17.2,10.4,Good
27.5,7.9,Moderate
18.4,14.4,Good
46.7,4.1,Poor
28.5,6.1,Moderate
37.1,7.7,Poor
30.7,8.0,Moderate
9.1,14.4,Good
25.3,10.0,Good
23.3,11.2,Good
22.9,17.9,Good
17.6,11.5,Good
15.3,10.1,Good
32.2,3.5,Poor
20.6,10.2,Good
26.414375678610206,2.9,Hazardous
28.1,3.5,Hazardous
26.414375678610206,10.9,Good
34.4,5.1,Poor
26.414375678610206,10.0,Poor
14.5,10.8,Good
26.414375678610206,7.4,Moderate
15.3,11.1,Good
24.9,13.2,Good
23.5,10.2,Good
26.414375678610206,4.9,Hazardous
39.5,2.5,Hazardous
31.4,4.3,Poor
43.7,8.5,Poor
26.414375678610206,5.5,Poor
29.7,8.1,Moderate
21.0,11.6,Good
19.7,12.9,Good
21.3,10.9,Good
19.6,10.2,Good
26.414375678610206,13.2,Moderate
41.4,2.8,Hazardous
13.7,10.6,Good
28.0,6.3,Moderate
42.5,7.3,Hazardous
34.2,3.7,Hazardous
23.7,6.0,Poor
30.1,7.6,Moderate
27.0,5.7,Moderate
25.6,8.1,Moderate
37.5,5.4,Poor
11.2,10.2,Good
30.8,4.8,Poor
36.1,6.8,Poor
20.9,10.7,Good
22.0,11.0,Good
16.2,10.8,Good
23.0,6.8,Poor
44.3,5.2,Hazardous
26.4,10.8,Good
28.8,7.8,Moderate
15.8,10.1,Good
27.7,9.5,Moderate
35.3,4.9,Hazardous
13.4,10.0,Good
20.5,10.2,Good
22.5,7.3,Moderate
31.2,5.3,Moderate
13.9,10.5,Good
31.6,6.6,Poor
17.2,16.4,Good
26.414375678610206,10.6,Good
11.1,11.8,Good
39.9,6.8,Poor
42.7,2.5,Hazardous
25.7,11.0,Good
19.7,11.1,Good
32.1,4.4,Poor
20.0,11.2,Good
26.414375678610206,10.4,Good
36.5,6.8,Poor
24.8,12.4,Good
26.1,10.7,Good
26.414375678610206,14.7,Good
25.7,4.1,Poor
26.414375678610206,12.9,Good
29.8,5.7,Poor
26.414375678610206,5.1,Moderate
26.414375678610206,7.3,Moderate
18.6,10.3,Good
43.8,6.0,Poor
12.1,11.0,Good
21.5,5.5,Moderate
20.4,12.5,Good
13.5,12.5,Good
39.9,4.0,Hazardous
24.3,10.7,Good
26.414375678610206,2.9,Hazardous
26.414375678610206,5.0,Moderate
26.414375678610206,19.7,Good
20.1,10.7,Good
21.0,6.6,Moderate
24.5,4.8,Poor
15.1,10.2,Good
31.5,7.3,Moderate
40.3,3.1,Hazardous
21.8,10.4,Good
21.2,10.1,Good
31.0,5.3,Poor
35.1,4.1,Hazardous
26.414375678610206,14.2,Good
26.3,6.3,Moderate
21.7,12.8,Good
24.5,8.2,Moderate
26.414375678610206,7.7,Poor
29.0,6.5,Moderate
36.1,7.5,Moderate
27.9,6.0,Moderate
23.7,11.4,Good
22.6,5.1,Moderate
25.3,12.5,Good
23.6,7.1,Moderate
28.2,5.5,Moderate
30.1,5.9,Moderate
21.8,10.0,Good
31.3,6.8,Moderate
21.3,5.7,Moderate
41.7,3.0,Hazardous
13.4,12.6,Good
22.9,6.3,Moderate
20.4,5.6,Moderate
26.6,10.8,Good
28.1,12.5,Moderate
23.8,13.8,Good
21.8,5.1,Moderate
23.2,6.6,Moderate
11.7,10.9,Good
44.6,8.2,Hazardous
45.1,3.2,Hazardous
13.3,10.9,Good
23.2,10.4,Good
26.414375678610206,2.6,Hazardous
33.1,5.6,Poor
26.6,5.0,Moderate
26.5,7.2,Moderate
35.6,3.1,Hazardous
24.1,6.0,Moderate
26.5,6.0,Moderate
16.2,10.0,Good
31.1,8.1,Moderate
26.414375678610206,5.1,Poor
24.7,10.8,Good
30.6,5.9,Moderate
43.9,3.5,Poor
14.2,5.5,Moderate
27.9,6.9,Moderate
37.5,9.0,Poor
29.3,8.0,Moderate
15.4,12.7,Good
35.5,8.5,Moderate
35.9,5.2,Poor
23.8,10.8,Good
36.0,7.3,Moderate
18.7,10.7,Good
26.414375678610206,10.8,Good
26.414375678610206,4.5,Poor
23.4,5.7,Moderate
50.9,5.1,Hazardous
38.1,5.4,Poor
34.5,3.2,Hazardous
11.0,10.4,Good
40.6,6.4,Hazardous
34.8,6.4,Moderate
39.5,4.2,Poor
17.4,10.1,Good
28.7,5.6,Moderate
22.4,12.5,Good
28.7,7.6,Poor
27.9,5.4,Moderate
12.9,10.0,Good
22.8,5.1,Moderate
41.6,6.4,Poor
30.0,10.4,Poor
41.1,6.8,Hazardous
29.1,6.7,Moderate
30.2,6.3,Moderate
27.2,7.5,Moderate
15.0,11.2,Good
29.3,11.8,Moderate
30.9,3.5,Hazardous
19.1,5.6,Moderate
24.0,11.5,Good
22.4,8.3,Moderate
14.2,11.1,Good
14.0,10.5,Good
24.9,3.8,Poor
23.6,11.5,Good
11.1,12.0,Good
25.8,6.4,Moderate
25.8,10.7,Good
22.0,5.3,Moderate
34.3,6.2,Moderate
18.4,10.4,Good
41.2,5.1,Poor
52.6,6.5,Hazardous
35.0,4.4,Poor
31.3,5.0,Moderate
19.1,17.8,Good
45.5,4.0,Poor
24.9,6.4,Moderate
32.9,4.8,Hazardous
31.4,5.9,Moderate
25.1,11.0,Good
21.2,11.4,Good
24.0,10.6,Good
38.8,9.0,Poor
17.5,9.3,Moderate
15.1,16.4,Good
39.1,5.2,Moderate
24.4,10.1,Good
38.1,4.8,Poor
11.4,10.9,Good
32.0,5.0,Poor
26.5,3.7,Hazardous
29.7,6.3,Moderate
17.2,14.8,Good
28.1,5.2,Moderate
45.0,7.4,Poor
23.7,13.4,Good
30.7,3.7,Poor
30.4,4.2,Poor
22.2,11.9,Good
35.9,6.2,Moderate
21.8,11.1,Good
37.0,6.9,Moderate
18.6,13.6,Good
26.1,5.4,Poor
50.3,6.4,Hazardous
30.9,5.0,Moderate
23.6,11.1,Good
38.2,8.4,Hazardous
33.3,6.0,Moderate
26.414375678610206,5.6,Moderate
21.3,12.2,Good
20.8,10.2,Good
20.6,11.3,Good
13.5,11.4,Good
17.3,11.4,Good
29.4,6.0,Moderate
42.9,2.8,Hazardous
26.414375678610206,7.7,Moderate
21.2,7.5,Moderate
11.5,15.7,Good
18.6,13.1,Good
28.1,5.9,Poor
28.2,8.5,Poor
21.5,12.1,Good
35.8,5.2,Poor
43.7,3.1,Hazardous
24.1,6.7,Moderate
34.3,5.7,Hazardous
22.4,11.6,Good
41.7,5.1,Poor
21.2,16.0,Good
29.2,8.7,Moderate
24.6,5.3,Moderate
15.9,15.6,Good
17.2,5.7,Moderate
26.5,12.2,Good
23.9,9.1,Moderate
22.4,16.7,Good
17.1,12.1,Good
28.5,7.2,Poor
30.1,3.7,Hazardous
29.2,6.5,Moderate
25.6,6.1,Moderate
16.9,5.2,Moderate
19.3,10.9,Good
38.9,3.4,Poor
20.3,6.3,Moderate
45.4,7.4,Poor
33.6,6.4,Moderate
29.1,7.2,Poor
49.3,3.3,Hazardous
26.414375678610206,17.0,Good
32.2,2.7,Hazardous
26.5,12.1,Good
25.5,11.3,Good
30.5,8.0,Moderate
39.4,9.2,Hazardous
26.414375678610206,10.5,Good
14.2,10.5,Good
22.7,10.8,Good
17.4,11.4,Good
26.414375678610206,11.1,Good
26.414375678610206,5.7,Moderate
34.1,5.4,Moderate
16.5,10.1,Good
21.6,10.5,Good
20.5,10.5,Good
21.1,10.0,Good
24.2,11.5,Good
26.414375678610206,10.5,Good
35.2,9.1,Moderate
62.1,2.7,Hazardous
30.4,8.4,Moderate
22.5,10.3,Good
30.6,10.5,Moderate
10.2,11.6,Good
26.414375678610206,16.0,Good
15.2,10.5,Good
29.1,5.2,Poor
26.414375678610206,2.8,Hazardous
20.2,9.0,Moderate
23.0,5.5,Moderate
36.5,2.9,Hazardous
29.0,6.0,Poor
28.1,7.4,Moderate
24.3,6.2,Moderate
24.7,13.2,Good
28.6,10.1,Poor
26.5,12.2,Poor
25.2,11.7,Good
14.3,13.6,Good
27.5,10.5,Good
44.7,3.5,Hazardous
36.9,5.0,Moderate
24.2,10.3,Good
25.3,6.7,Moderate
35.5,3.4,Poor
37.5,3.7,Poor
48.0,3.6,Hazardous
26.414375678610206,10.6,Good
20.8,11.6,Good
10.6,10.8,Good
22.8,13.8,Good
26.414375678610206,3.8,Hazardous
26.414375678610206,10.2,Good
11.7,12.3,Good
46.5,4.8,Hazardous
23.6,13.4,Good
38.1,11.5,Hazardous
18.8,10.6,Good
29.6,6.5,Moderate
33.3,3.1,Hazardous
32.7,7.2,Moderate
22.7,10.1,Good
18.9,10.6,Good
16.4,15.6,Good
13.0,11.3,Good
19.4,14.8,Good
20.1,11.3,Good
26.7,9.3,Moderate
27.9,4.1,Poor
26.5,13.7,Good
25.7,10.1,Good
12.8,10.5,Good
33.0,3.6,Poor
21.0,5.7,Moderate
24.6,11.1,Good
26.414375678610206,10.7,Good
21.9,5.5,Moderate
41.5,3.3,Hazardous
23.5,7.1,Moderate
26.414375678610206,3.9,Poor
28.1,5.4,Moderate
48.7,6.5,Poor
22.8,5.4,Moderate
27.6,5.9,Moderate
24.5,14.6,Good
29.9,7.6,Moderate
22.9,10.8,Moderate
30.5,4.5,Poor
20.8,5.0,Moderate
22.3,6.4,Moderate
27.3,4.4,Poor
20.6,10.6,Moderate
28.7,5.9,Moderate
44.2,3.8,Poor
26.414375678610206,10.4,Good
42.5,11.6,Poor
10.9,15.7,Good
54.1,3.9,Hazardous
39.2,10.5,Poor
37.9,3.8,Poor
12.9,13.2,Good
17.1,13.4,Good
14.5,12.2,Good
29.8,4.6,Poor
26.414375678610206,9.0,Poor
29.3,9.0,Moderate
23.8,10.5,Good
36.1,3.8,Poor
18.7,6.9,Moderate
12.1,11.1,Good
39.0,10.2,Hazardous
26.414375678610206,3.8,Poor
23.7,6.4,Moderate
20.3,11.4,Good
24.5,12.0,Good
22.0,5.8,Moderate
33.4,4.0,Poor
30.5,5.4,Moderate
26.9,6.2,Moderate
43.9,4.9,Poor
32.9,4.0,Poor
24.8,7.8,Moderate
26.414375678610206,13.7,Good
33.1,5.6,Moderate
23.2,15.2,Good
22.7,10.4,Good
28.7,6.3,Moderate
11.1,14.5,Good
15.7,13.1,Good
20.4,11.1,Good
25.4,16.2,Good
24.4,11.9,Good
43.7,3.0,Hazardous
37.7,4.1,Poor
32.0,5.0,Hazardous
23.1,11.1,Moderate
26.0,5.7,Moderate
38.6,4.7,Poor
13.5,12.1,Good
36.9,3.7,Poor
21.0,13.8,Good
16.5,10.8,Good
22.9,5.4,Moderate
12.3,14.5,Good
16.4,11.5,Good
23.8,7.3,Moderate
23.2,7.9,Moderate
34.3,6.9,Poor
11.5,12.2,Good
26.4,10.0,Good
10.5,12.5,Good
10.8,12.4,Good
29.5,5.3,Moderate
24.4,10.4,Good
17.3,10.9,Good
23.5,12.9,Good
26.414375678610206,5.4,Moderate
16.7,10.6,Good
27.7,5.9,Poor
16.0,14.4,Good
21.1,10.5,Good
29.8,5.7,Moderate
25.4,11.6,Good
28.9,10.6,Good
31.4,4.8,Poor
17.4,13.7,Good
22.9,6.4,Moderate
32.8,4.1,Hazardous
27.7,9.0,Moderate
23.7,5.8,Moderate
13.8,11.8,Good
44.8,2.8,Hazardous
24.6,7.8,Moderate
32.4,4.9,Poor
14.3,10.3,Good
27.1,5.6,Moderate
24.9,11.5,Good
22.3,5.1,Moderate
12.3,14.1,Good
24.4,11.3,Good
38.4,4.2,Poor
32.8,5.2,Moderate
28.2,10.9,Good
31.6,3.4,Hazardous
35.3,6.4,Poor
20.7,13.0,Good
13.0,10.9,Good
20.2,11.3,Good
25.3,7.5,Moderate
26.414375678610206,3.7,Poor
26.414375678610206,11.5,Good
21.2,6.8,Moderate
18.1,10.4,Moderate
29.5,5.3,Moderate
32.1,4.8,Poor
52.7,2.6,Hazardous
27.9,12.1,Good
18.0,6.5,Moderate
27.6,3.6,Poor
26.414375678610206,13.2,Good
31.1,12.1,Moderate
17.8,10.9,Good
11.1,10.6,Good
30.9,4.9,Poor
31.7,3.9,Poor
36.3,5.7,Poor
28.9,5.4,Moderate
32.7,4.3,Poor
25.5,11.3,Good
20.6,6.8,Moderate
37.2,5.1,Poor
28.7,7.5,Moderate
17.1,10.7,Good
20.5,14.0,Good
31.6,4.9,Poor
49.3,5.2,Hazardous
26.414375678610206,5.6,Moderate
27.6,10.1,Good
28.9,5.1,Poor
38.4,4.7,Hazardous
18.4,10.3,Good
18.7,7.5,Moderate
24.1,10.6,Good
37.0,4.7,Poor
26.414375678610206,5.8,Moderate
33.2,3.9,Poor
26.2,15.2,Good
18.4,10.2,Good
35.1,4.2,Poor
25.9,6.0,Moderate
26.0,10.6,Good
26.414375678610206,5.8,Hazardous
28.8,7.2,Moderate
51.6,7.3,Hazardous
26.7,8.8,Moderate
22.8,6.8,Hazardous
12.5,11.2,Good
22.5,10.4,Good
26.414375678610206,12.3,Good
25.0,5.9,Poor
14.8,13.0,Good
32.0,5.5,Moderate
17.0,10.6,Good
31.1,6.8,Moderate
28.7,6.0,Poor
45.1,9.2,Poor
21.4,10.0,Good
27.5,5.3,Moderate
21.0,10.3,Moderate
27.2,6.1,Moderate
16.2,6.0,Moderate
54.9,5.2,Hazardous
18.2,13.7,Good
19.2,10.8,Good
22.1,16.3,Moderate
56.8,5.7,Hazardous
30.4,4.0,Poor
31.5,5.4,Moderate
37.4,4.1,Poor
25.0,6.5,Moderate
35.3,16.6,Poor
13.3,10.7,Good
29.1,5.4,Poor
29.8,3.9,Poor
13.4,12.8,Good
26.7,5.5,Moderate
23.3,8.1,Poor
21.7,5.1,Moderate
26.414375678610206,3.3,Poor
27.6,10.9,Good
29.8,4.1,Poor
18.0,13.2,Good
37.6,7.7,Poor
12.9,11.1,Good
13.8,10.1,Good
27.7,12.2,Moderate
21.2,10.5,Good
37.4,5.3,Hazardous
38.8,3.0,Hazardous
26.1,8.9,Moderate
27.3,8.8,Moderate
29.1,6.0,Moderate
26.414375678610206,10.3,Good
19.4,11.5,Good
31.0,7.6,Moderate
20.8,5.2,Moderate
24.2,12.6,Good
29.6,6.0,Moderate
22.8,13.6,Good
10.9,14.6,Good
34.7,9.0,Moderate
48.8,5.6,Poor
34.9,5.4,Moderate
21.9,10.4,Good
28.7,3.4,Poor
24.1,10.3,Good
26.414375678610206,4.0,Poor
26.7,11.2,Good
23.6,13.5,Moderate
24.7,6.7,Moderate
30.0,4.5,Poor
18.4,10.6,Good
22.3,10.8,Good
39.1,5.6,Moderate
32.7,5.3,Moderate
31.2,5.6,Moderate
27.9,5.1,Poor
30.2,5.7,Moderate
18.7,6.9,Moderate
36.4,4.7,Poor
20.6,5.4,Moderate
54.3,5.1,Hazardous
26.414375678610206,10.1,Good
11.3,10.6,Good
23.4,7.4,Moderate
17.0,10.8,Good
17.5,10.1,Good
24.9,6.7,Moderate
42.0,2.6,Hazardous
15.1,11.8,Good
31.0,5.3,Moderate
26.1,5.7,Moderate
20.9,5.6,Moderate
17.2,5.6,Moderate
13.3,10.0,Good
18.1,5.2,Moderate
23.7,5.0,Moderate
25.4,7.8,Moderate
24.8,10.6,Good
26.414375678610206,5.6,Moderate
25.7,4.2,Poor
21.3,11.3,Good
35.9,4.8,Poor
21.3,10.9,Good
31.7,6.1,Moderate
20.0,14.3,Good
29.6,5.8,Poor
16.6,4.6,Hazardous
35.9,8.2,Poor
24.7,12.7,Good
21.9,7.0,Moderate
20.5,11.6,Good
20.9,11.2,Good
30.2,5.7,Moderate
35.5,3.8,Poor
37.4,2.7,Hazardous
38.2,12.0,Poor
26.0,12.8,Good
19.9,6.8,Moderate
24.6,5.4,Moderate
26.414375678610206,12.3,Good
35.2,11.6,Moderate
26.5,11.2,Good
26.414375678610206,10.9,Good
30.3,3.8,Poor
26.414375678610206,6.0,Moderate
23.5,6.2,Moderate
26.414375678610206,5.5,Poor
23.0,8.9,Moderate
17.9,10.9,Good
31.9,3.9,Poor
20.2,5.6,Moderate
21.1,6.3,Poor
26.2,6.8,Moderate
26.414375678610206,6.3,Moderate
35.0,4.8,Poor
23.4,11.0,Good
18.2,18.8,Good
25.3,6.1,Moderate
33.0,5.1,Hazardous
19.7,12.1,Good
17.0,13.3,Good
35.1,6.1,Moderate
38.5,4.4,Poor
26.414375678610206,7.4,Moderate
38.1,3.3,Hazardous
26.0,21.8,Good
26.414375678610206,12.3,Good
17.2,7.5,Moderate
26.414375678610206,6.4,Moderate
15.6,11.6,Good
14.8,10.6,Good
23.1,7.0,Moderate
31.6,8.8,Moderate
41.6,4.2,Poor
22.8,6.7,Moderate
25.6,11.1,Good
52.0,2.6,Hazardous
29.4,6.4,Moderate
29.3,5.0,Moderate
28.6,9.6,Moderate
13.9,10.2,Good
43.4,3.6,Hazardous
27.8,5.3,Moderate
25.7,3.7,Poor
28.3,11.9,Good
29.3,3.8,Poor
36.3,4.0,Poor
17.1,10.2,Moderate
18.3,12.7,Good
34.2,3.2,Hazardous
13.4,11.3,Good
21.7,5.2,Moderate
26.3,10.6,Good
25.4,6.6,Moderate
23.3,4.2,Poor
22.0,10.1,Good
37.9,4.7,Poor
32.9,5.9,Moderate
30.1,3.7,Poor
26.414375678610206,12.0,Good
20.3,12.7,Good
21.0,19.4,Good
21.3,11.5,Good
16.5,7.1,Moderate
27.3,12.0,Good
18.9,10.2,Good
37.9,7.5,Moderate
26.4,11.0,Moderate
32.4,6.8,Poor
26.6,8.5,Moderate
20.6,5.1,Moderate
23.2,11.2,Good
36.4,3.5,Poor
23.1,11.1,Good
12.6,14.5,Good
27.9,5.3,Moderate
19.3,12.4,Good
28.7,6.1,Moderate
26.9,6.0,Poor
25.9,9.0,Moderate
13.8,14.0,Good
32.9,6.6,Poor
18.9,8.2,Moderate
13.3,11.9,Good
18.8,13.3,Good
35.2,5.3,Moderate
18.5,16.4,Good
16.0,15.5,Good
26.414375678610206,9.5,Moderate
27.8,10.9,Good
18.7,12.9,Good
35.3,8.5,Poor
21.0,9.7,Moderate
31.7,5.6,Moderate
26.8,10.4,Good
27.7,7.5,Moderate
20.9,10.6,Good
11.3,10.8,Good
27.0,6.7,Moderate
38.9,4.3,Poor
26.3,5.1,Moderate
32.7,5.0,Poor
27.2,7.5,Moderate
19.0,11.1,Good
23.9,11.0,Good
19.2,10.6,Good
30.8,6.0,Moderate
12.2,10.2,Good
32.6,7.7,Moderate
19.7,20.0,Good
36.4,4.0,Poor
46.3,4.8,Poor
51.0,4.9,Hazardous
30.0,5.5,Moderate
42.4,4.6,Hazardous
25.7,10.9,Good
19.9,5.3,Moderate
20.7,12.4,Moderate
32.1,9.5,Hazardous
24.7,10.5,Good
19.2,10.8,Good
25.9,5.6,Poor
25.8,7.3,Moderate
28.8,9.5,Moderate
32.6,5.8,Moderate
24.8,5.9,Moderate
17.9,12.8,Good
26.4,13.8,Good
21.3,5.6,Moderate
31.5,3.7,Poor
14.3,12.2,Good
26.414375678610206,4.3,Poor
27.3,7.6,Moderate
23.5,10.4,Good
28.1,5.7,Moderate
39.2,5.3,Poor
41.2,3.5,Poor
30.6,5.2,Moderate
34.8,5.3,Moderate
25.6,14.8,Good
26.414375678610206,3.7,Poor
23.7,8.6,Moderate
30.0,3.8,Poor
28.9,15.1,Good
27.4,6.3,Moderate
17.8,5.2,Poor
18.8,3.9,Poor
19.7,13.1,Good
26.414375678610206,5.9,Hazardous
15.9,10.8,Good
26.2,12.2,Good
26.414375678610206,6.7,Moderate
25.6,5.3,Moderate
14.5,10.2,Good
23.0,5.4,Poor
31.9,7.7,Poor
21.3,7.7,Moderate
33.2,5.2,Moderate
22.5,11.8,Good
33.5,7.2,Poor
20.9,10.1,Good
46.3,8.5,Hazardous
44.2,4.1,Poor
30.7,5.6,Moderate
25.5,5.3,Poor
24.2,6.1,Moderate
22.0,15.0,Good
17.5,13.3,Good
18.5,8.7,Moderate
18.2,10.2,Good
18.2,6.6,Moderate
24.5,10.5,Good
32.4,5.2,Poor
14.4,10.1,Good
15.6,10.5,Good
39.7,4.3,Hazardous
39.8,3.5,Poor
46.5,4.2,Poor
20.3,5.1,Moderate
22.4,6.6,Moderate
37.5,3.8,Poor
36.5,4.4,Hazardous
18.7,12.2,Good
26.6,7.6,Moderate
53.7,7.6,Hazardous
26.3,11.5,Good
14.1,10.5,Good
19.0,10.1,Good
17.6,10.4,Good
41.2,7.0,Hazardous
12.2,11.1,Good
40.0,3.5,Poor
18.2,10.8,Good
24.4,11.4,Good
17.9,10.5,Good
33.2,4.3,Poor
22.7,11.8,Moderate
18.6,13.7,Good
37.9,6.0,Poor
26.0,11.2,Good
14.7,16.3,Good
26.414375678610206,12.4,Good
23.1,5.6,Moderate
19.3,17.6,Good
38.3,7.6,Moderate
30.3,6.5,Moderate
17.7,10.1,Good
28.4,4.6,Poor
40.2,2.8,Hazardous
22.2,5.5,Moderate
14.6,11.6,Good
23.6,4.2,Poor
12.4,13.5,Good
22.0,6.8,Moderate
15.3,12.4,Good
54.4,3.7,Hazardous
22.7,6.4,Moderate
20.7,6.3,Moderate
33.8,5.5,Poor
25.0,11.2,Good
31.7,4.5,Hazardous
47.6,5.6,Hazardous
26.8,8.0,Moderate
19.4,12.7,Good
45.6,4.7,Poor
39.1,4.6,Poor
18.3,7.1,Moderate
19.0,4.2,Poor
24.2,14.7,Good
11.8,13.5,Good
17.1,15.0,Good
26.414375678610206,11.2,Good
47.3,4.2,Poor
36.6,3.5,Poor
34.5,7.9,Poor
34.6,3.8,Poor
